kommune_bydel_no,kommune_bydel_name.x,bydel_no.x,bydel_name.x,kommune_no.x,kommune_name.x,fylke_no.x,fylke_name.x,kommune_bydel_name.y,bydel_no.y,bydel_name.y,kommune_no.y,kommune_name.y,fylke_no.y,fylke_name.y,population
1505,Kristiansund,,,1505,Kristiansund,15,Møre og Romsdal,Kristiansund,,,1505,Kristiansund,15,Møre og Romsdal,24179
1506,Molde,,,1506,Molde,15,Møre og Romsdal,Molde,,,1506,Molde,15,Møre og Romsdal,31967
1507,Ålesund,,,1507,Ålesund,15,Møre og Romsdal,Ålesund,,,1507,Ålesund,15,Møre og Romsdal,66258
1511,Vanylven,,,1511,Vanylven,15,Møre og Romsdal,Vanylven,,,1511,Vanylven,15,Møre og Romsdal,3117
1514,Sande,,,1514,Sande,15,Møre og Romsdal,Sande,,,1514,Sande,15,Møre og Romsdal,2461
1515,Herøy (Møre og Romsdal),,,1515,Herøy (Møre og Romsdal),15,Møre og Romsdal,Herøy (Møre og Romsdal),,,1515,Herøy (Møre og Romsdal),15,Møre og Romsdal,8900
1516,Ulstein,,,1516,Ulstein,15,Møre og Romsdal,Ulstein,,,1516,Ulstein,15,Møre og Romsdal,8571
1517,Hareid,,,1517,Hareid,15,Møre og Romsdal,Hareid,,,1517,Hareid,15,Møre og Romsdal,5175
1520,Ørsta,,,1520,Ørsta,15,Møre og Romsdal,Ørsta,,,1520,Ørsta,15,Møre og Romsdal,10825
1525,Stranda,,,1525,Stranda,15,Møre og Romsdal,Stranda,,,1525,Stranda,15,Møre og Romsdal,4523
1528,Sykkylven,,,1528,Sykkylven,15,Møre og Romsdal,Sykkylven,,,1528,Sykkylven,15,Møre og Romsdal,7625
1531,Sula,,,1531,Sula,15,Møre og Romsdal,Sula,,,1531,Sula,15,Møre og Romsdal,9310
1532,Giske,,,1532,Giske,15,Møre og Romsdal,Giske,,,1532,Giske,15,Møre og Romsdal,8462
1535,Vestnes,,,1535,Vestnes,15,Møre og Romsdal,Vestnes,,,1535,Vestnes,15,Møre og Romsdal,6532
1539,Rauma,,,1539,Rauma,15,Møre og Romsdal,Rauma,,,1539,Rauma,15,Møre og Romsdal,7468
1547,Aukra,,,1547,Aukra,15,Møre og Romsdal,Aukra,,,1547,Aukra,15,Møre og Romsdal,3509
1554,Averøy,,,1554,Averøy,15,Møre og Romsdal,Averøy,,,1554,Averøy,15,Møre og Romsdal,5788
1557,Gjemnes,,,1557,Gjemnes,15,Møre og Romsdal,Gjemnes,,,1557,Gjemnes,15,Møre og Romsdal,2629
1560,Tingvoll,,,1560,Tingvoll,15,Møre og Romsdal,Tingvoll,,,1560,Tingvoll,15,Møre og Romsdal,3025
1563,Sunndal,,,1563,Sunndal,15,Møre og Romsdal,Sunndal,,,1563,Sunndal,15,Møre og Romsdal,7036
1566,Surnadal,,,1566,Surnadal,15,Møre og Romsdal,Surnadal,,,1566,Surnadal,15,Møre og Romsdal,5920
1573,Smøla,,,1573,Smøla,15,Møre og Romsdal,Smøla,,,1573,Smøla,15,Møre og Romsdal,2150
1576,Aure,,,1576,Aure,15,Møre og Romsdal,Aure,,,1576,Aure,15,Møre og Romsdal,3507
1577,Volda,,,1577,Volda,15,Møre og Romsdal,Volda,,,1577,Volda,15,Møre og Romsdal,10473
1578,Fjord,,,1578,Fjord,15,Møre og Romsdal,Fjord,,,1578,Fjord,15,Møre og Romsdal,2549
1579,Hustadvika,,,1579,Hustadvika,15,Møre og Romsdal,Hustadvika,,,1579,Hustadvika,15,Møre og Romsdal,13279
1804,Bodø,,,1804,Bodø,18,Nordland,Bodø,,,1804,Bodø,18,Nordland,52357
1806,Narvik,,,1806,Narvik,18,Nordland,Narvik,,,1806,Narvik,18,Nordland,21845
1811,Bindal,,,1811,Bindal,18,Nordland,Bindal,,,1811,Bindal,18,Nordland,1426
1812,Sømna,,,1812,Sømna,18,Nordland,Sømna,,,1812,Sømna,18,Nordland,1975
1813,Brønnøy,,,1813,Brønnøy,18,Nordland,Brønnøy,,,1813,Brønnøy,18,Nordland,7917
1815,Vega,,,1815,Vega,18,Nordland,Vega,,,1815,Vega,18,Nordland,1200
1816,Vevelstad,,,1816,Vevelstad,18,Nordland,Vevelstad,,,1816,Vevelstad,18,Nordland,462
1818,Herøy (Nordland),,,1818,Herøy (Nordland),18,Nordland,Herøy (Nordland),,,1818,Herøy (Nordland),18,Nordland,1777
1820,Alstahaug,,,1820,Alstahaug,18,Nordland,Alstahaug,,,1820,Alstahaug,18,Nordland,7447
1822,Leirfjord,,,1822,Leirfjord,18,Nordland,Leirfjord,,,1822,Leirfjord,18,Nordland,2294
1824,Vefsn,,,1824,Vefsn,18,Nordland,Vefsn,,,1824,Vefsn,18,Nordland,13278
1825,Grane,,,1825,Grane,18,Nordland,Grane,,,1825,Grane,18,Nordland,1482
1826,Hattfjelldal,,,1826,Hattfjelldal,18,Nordland,Hattfjelldal,,,1826,Hattfjelldal,18,Nordland,1297
1827,Dønna,,,1827,Dønna,18,Nordland,Dønna,,,1827,Dønna,18,Nordland,1371
1828,Nesna,,,1828,Nesna,18,Nordland,Nesna,,,1828,Nesna,18,Nordland,1761
1832,Hemnes,,,1832,Hemnes,18,Nordland,Hemnes,,,1832,Hemnes,18,Nordland,4454
1833,Rana,,,1833,Rana,18,Nordland,Rana,,,1833,Rana,18,Nordland,26184
1834,Lurøy,,,1834,Lurøy,18,Nordland,Lurøy,,,1834,Lurøy,18,Nordland,1890
1835,Træna,,,1835,Træna,18,Nordland,Træna,,,1835,Træna,18,Nordland,435
1836,Rødøy,,,1836,Rødøy,18,Nordland,Rødøy,,,1836,Rødøy,18,Nordland,1213
1837,Meløy,,,1837,Meløy,18,Nordland,Meløy,,,1837,Meløy,18,Nordland,6288
1838,Gildeskål,,,1838,Gildeskål,18,Nordland,Gildeskål,,,1838,Gildeskål,18,Nordland,1950
1839,Beiarn,,,1839,Beiarn,18,Nordland,Beiarn,,,1839,Beiarn,18,Nordland,1017
1840,Saltdal,,,1840,Saltdal,18,Nordland,Saltdal,,,1840,Saltdal,18,Nordland,4671
1841,Fauske,,,1841,Fauske,18,Nordland,Fauske,,,1841,Fauske,18,Nordland,9739
1845,Sørfold,,,1845,Sørfold,18,Nordland,Sørfold,,,1845,Sørfold,18,Nordland,1926
1848,Steigen,,,1848,Steigen,18,Nordland,Steigen,,,1848,Steigen,18,Nordland,2608
1851,Lødingen,,,1851,Lødingen,18,Nordland,Lødingen,,,1851,Lødingen,18,Nordland,2034
1853,Evenes,,,1853,Evenes,18,Nordland,Evenes,,,1853,Evenes,18,Nordland,1348
1856,Røst,,,1856,Røst,18,Nordland,Røst,,,1856,Røst,18,Nordland,498
1857,Værøy,,,1857,Værøy,18,Nordland,Værøy,,,1857,Værøy,18,Nordland,728
1859,Flakstad,,,1859,Flakstad,18,Nordland,Flakstad,,,1859,Flakstad,18,Nordland,1272
1860,Vestvågøy,,,1860,Vestvågøy,18,Nordland,Vestvågøy,,,1860,Vestvågøy,18,Nordland,11433
1865,Vågan,,,1865,Vågan,18,Nordland,Vågan,,,1865,Vågan,18,Nordland,9608
1866,Hadsel,,,1866,Hadsel,18,Nordland,Hadsel,,,1866,Hadsel,18,Nordland,8061
1867,Bø,,,1867,Bø,18,Nordland,Bø,,,1867,Bø,18,Nordland,2569
1868,Øksnes,,,1868,Øksnes,18,Nordland,Øksnes,,,1868,Øksnes,18,Nordland,4410
1870,Sortland,,,1870,Sortland,18,Nordland,Sortland,,,1870,Sortland,18,Nordland,10566
1871,Andøy,,,1871,Andøy,18,Nordland,Andøy,,,1871,Andøy,18,Nordland,4663
1874,Moskenes,,,1874,Moskenes,18,Nordland,Moskenes,,,1874,Moskenes,18,Nordland,1015
1875,Hamarøy,,,1875,Hamarøy,18,Nordland,Hamarøy,,,1875,Hamarøy,18,Nordland,2766
3001,Halden,,,3001,Halden,30,Viken,Halden,,,3001,Halden,30,Viken,31373
3002,Moss,,,3002,Moss,30,Viken,Moss,,,3002,Moss,30,Viken,49273
3003,Sarpsborg,,,3003,Sarpsborg,30,Viken,Sarpsborg,,,3003,Sarpsborg,30,Viken,56732
3004,Fredrikstad,,,3004,Fredrikstad,30,Viken,Fredrikstad,,,3004,Fredrikstad,30,Viken,82385
3005,Drammen,,,3005,Drammen,30,Viken,Drammen,,,3005,Drammen,30,Viken,101386
3006,Kongsberg,,,3006,Kongsberg,30,Viken,Kongsberg,,,3006,Kongsberg,30,Viken,27723
3007,Ringerike,,,3007,Ringerike,30,Viken,Ringerike,,,3007,Ringerike,30,Viken,30641
3011,Hvaler,,,3011,Hvaler,30,Viken,Hvaler,,,3011,Hvaler,30,Viken,4668
3012,Aremark,,,3012,Aremark,30,Viken,Aremark,,,3012,Aremark,30,Viken,1325
3013,Marker,,,3013,Marker,30,Viken,Marker,,,3013,Marker,30,Viken,3595
3014,Indre Østfold,,,3014,Indre Østfold,30,Viken,Indre Østfold,,,3014,Indre Østfold,30,Viken,44792
3015,Skiptvet,,,3015,Skiptvet,30,Viken,Skiptvet,,,3015,Skiptvet,30,Viken,3805
3016,Rakkestad,,,3016,Rakkestad,30,Viken,Rakkestad,,,3016,Rakkestad,30,Viken,8255
3017,Råde,,,3017,Råde,30,Viken,Råde,,,3017,Råde,30,Viken,7508
3018,Våler (Viken),,,3018,Våler (Viken),30,Viken,Våler (Viken),,,3018,Våler (Viken),30,Viken,5736
3019,Vestby,,,3019,Vestby,30,Viken,Vestby,,,3019,Vestby,30,Viken,18042
3020,Nordre Follo,,,3020,Nordre Follo,30,Viken,Nordre Follo,,,3020,Nordre Follo,30,Viken,59288
3021,Ås,,,3021,Ås,30,Viken,Ås,,,3021,Ås,30,Viken,20439
3022,Frogn,,,3022,Frogn,30,Viken,Frogn,,,3022,Frogn,30,Viken,15877
3023,Nesodden,,,3023,Nesodden,30,Viken,Nesodden,,,3023,Nesodden,30,Viken,19616
3024,Bærum,,,3024,Bærum,30,Viken,Bærum,,,3024,Bærum,30,Viken,127731
3025,Asker,,,3025,Asker,30,Viken,Asker,,,3025,Asker,30,Viken,94441
3026,Aurskog-Høland,,,3026,Aurskog-Høland,30,Viken,Aurskog-Høland,,,3026,Aurskog-Høland,30,Viken,17390
3027,Rælingen,,,3027,Rælingen,30,Viken,Rælingen,,,3027,Rælingen,30,Viken,18530
3028,Enebakk,,,3028,Enebakk,30,Viken,Enebakk,,,3028,Enebakk,30,Viken,11110
3029,Lørenskog,,,3029,Lørenskog,30,Viken,Lørenskog,,,3029,Lørenskog,30,Viken,41460
3030,Lillestrøm,,,3030,Lillestrøm,30,Viken,Lillestrøm,,,3030,Lillestrøm,30,Viken,85983
3031,Nittedal,,,3031,Nittedal,30,Viken,Nittedal,,,3031,Nittedal,30,Viken,24249
3032,Gjerdrum,,,3032,Gjerdrum,30,Viken,Gjerdrum,,,3032,Gjerdrum,30,Viken,6890
3033,Ullensaker,,,3033,Ullensaker,30,Viken,Ullensaker,,,3033,Ullensaker,30,Viken,39625
3034,Nes,,,3034,Nes,30,Viken,Nes,,,3034,Nes,30,Viken,23092
3035,Eidsvoll,,,3035,Eidsvoll,30,Viken,Eidsvoll,,,3035,Eidsvoll,30,Viken,25436
3036,Nannestad,,,3036,Nannestad,30,Viken,Nannestad,,,3036,Nannestad,30,Viken,14139
3037,Hurdal,,,3037,Hurdal,30,Viken,Hurdal,,,3037,Hurdal,30,Viken,2854
3038,Hole,,,3038,Hole,30,Viken,Hole,,,3038,Hole,30,Viken,6799
3039,Flå,,,3039,Flå,30,Viken,Flå,,,3039,Flå,30,Viken,1050
3040,Nesbyen,,,3040,Nesbyen,30,Viken,Nesbyen,,,3040,Nesbyen,30,Viken,3273
3041,Gol,,,3041,Gol,30,Viken,Gol,,,3041,Gol,30,Viken,4608
3042,Hemsedal,,,3042,Hemsedal,30,Viken,Hemsedal,,,3042,Hemsedal,30,Viken,2486
3043,Ål,,,3043,Ål,30,Viken,Ål,,,3043,Ål,30,Viken,4674
3044,Hol,,,3044,Hol,30,Viken,Hol,,,3044,Hol,30,Viken,4441
3045,Sigdal,,,3045,Sigdal,30,Viken,Sigdal,,,3045,Sigdal,30,Viken,3467
3046,Krødsherad,,,3046,Krødsherad,30,Viken,Krødsherad,,,3046,Krødsherad,30,Viken,2212
3047,Modum,,,3047,Modum,30,Viken,Modum,,,3047,Modum,30,Viken,14115
3048,Øvre Eiker,,,3048,Øvre Eiker,30,Viken,Øvre Eiker,,,3048,Øvre Eiker,30,Viken,19423
3049,Lier,,,3049,Lier,30,Viken,Lier,,,3049,Lier,30,Viken,26811
3050,Flesberg,,,3050,Flesberg,30,Viken,Flesberg,,,3050,Flesberg,30,Viken,2688
3051,Rollag,,,3051,Rollag,30,Viken,Rollag,,,3051,Rollag,30,Viken,1390
3052,Nore og Uvdal,,,3052,Nore og Uvdal,30,Viken,Nore og Uvdal,,,3052,Nore og Uvdal,30,Viken,2439
3053,Jevnaker,,,3053,Jevnaker,30,Viken,Jevnaker,,,3053,Jevnaker,30,Viken,6852
3054,Lunner,,,3054,Lunner,30,Viken,Lunner,,,3054,Lunner,30,Viken,9048
3401,Kongsvinger,,,3401,Kongsvinger,34,Innlandet,Kongsvinger,,,3401,Kongsvinger,34,Innlandet,17829
3403,Hamar,,,3403,Hamar,34,Innlandet,Hamar,,,3403,Hamar,34,Innlandet,31369
3405,Lillehammer,,,3405,Lillehammer,34,Innlandet,Lillehammer,,,3405,Lillehammer,34,Innlandet,28345
3407,Gjøvik,,,3407,Gjøvik,34,Innlandet,Gjøvik,,,3407,Gjøvik,34,Innlandet,30560
3411,Ringsaker,,,3411,Ringsaker,34,Innlandet,Ringsaker,,,3411,Ringsaker,34,Innlandet,34768
3412,Løten,,,3412,Løten,34,Innlandet,Løten,,,3412,Løten,34,Innlandet,7674
3413,Stange,,,3413,Stange,34,Innlandet,Stange,,,3413,Stange,34,Innlandet,21064
3414,Nord-Odal,,,3414,Nord-Odal,34,Innlandet,Nord-Odal,,,3414,Nord-Odal,34,Innlandet,5016
3415,Sør-Odal,,,3415,Sør-Odal,34,Innlandet,Sør-Odal,,,3415,Sør-Odal,34,Innlandet,7905
3416,Eidskog,,,3416,Eidskog,34,Innlandet,Eidskog,,,3416,Eidskog,34,Innlandet,6106
3417,Grue,,,3417,Grue,34,Innlandet,Grue,,,3417,Grue,34,Innlandet,4612
3418,Åsnes,,,3418,Åsnes,34,Innlandet,Åsnes,,,3418,Åsnes,34,Innlandet,7203
3419,Våler (Innlandet),,,3419,Våler (Innlandet),34,Innlandet,Våler (Innlandet),,,3419,Våler (Innlandet),34,Innlandet,3662
3420,Elverum,,,3420,Elverum,34,Innlandet,Elverum,,,3420,Elverum,34,Innlandet,21254
3421,Trysil,,,3421,Trysil,34,Innlandet,Trysil,,,3421,Trysil,34,Innlandet,6627
3422,Åmot,,,3422,Åmot,34,Innlandet,Åmot,,,3422,Åmot,34,Innlandet,4356
3423,Stor-Elvdal,,,3423,Stor-Elvdal,34,Innlandet,Stor-Elvdal,,,3423,Stor-Elvdal,34,Innlandet,2419
3424,Rendalen,,,3424,Rendalen,34,Innlandet,Rendalen,,,3424,Rendalen,34,Innlandet,1780
3425,Engerdal,,,3425,Engerdal,34,Innlandet,Engerdal,,,3425,Engerdal,34,Innlandet,1268
3426,Tolga,,,3426,Tolga,34,Innlandet,Tolga,,,3426,Tolga,34,Innlandet,1562
3427,Tynset,,,3427,Tynset,34,Innlandet,Tynset,,,3427,Tynset,34,Innlandet,5578
3428,Alvdal,,,3428,Alvdal,34,Innlandet,Alvdal,,,3428,Alvdal,34,Innlandet,2432
3429,Folldal,,,3429,Folldal,34,Innlandet,Folldal,,,3429,Folldal,34,Innlandet,1545
3430,Os,,,3430,Os,34,Innlandet,Os,,,3430,Os,34,Innlandet,1891
3431,Dovre,,,3431,Dovre,34,Innlandet,Dovre,,,3431,Dovre,34,Innlandet,2553
3432,Lesja,,,3432,Lesja,34,Innlandet,Lesja,,,3432,Lesja,34,Innlandet,1975
3433,Skjåk,,,3433,Skjåk,34,Innlandet,Skjåk,,,3433,Skjåk,34,Innlandet,2197
3434,Lom,,,3434,Lom,34,Innlandet,Lom,,,3434,Lom,34,Innlandet,2228
3435,Vågå,,,3435,Vågå,34,Innlandet,Vågå,,,3435,Vågå,34,Innlandet,3570
3436,Nord-Fron,,,3436,Nord-Fron,34,Innlandet,Nord-Fron,,,3436,Nord-Fron,34,Innlandet,5723
3437,Sel,,,3437,Sel,34,Innlandet,Sel,,,3437,Sel,34,Innlandet,5739
3438,Sør-Fron,,,3438,Sør-Fron,34,Innlandet,Sør-Fron,,,3438,Sør-Fron,34,Innlandet,3119
3439,Ringebu,,,3439,Ringebu,34,Innlandet,Ringebu,,,3439,Ringebu,34,Innlandet,4392
3440,Øyer,,,3440,Øyer,34,Innlandet,Øyer,,,3440,Øyer,34,Innlandet,5100
3441,Gausdal,,,3441,Gausdal,34,Innlandet,Gausdal,,,3441,Gausdal,34,Innlandet,6106
3442,Østre Toten,,,3442,Østre Toten,34,Innlandet,Østre Toten,,,3442,Østre Toten,34,Innlandet,14973
3443,Vestre Toten,,,3443,Vestre Toten,34,Innlandet,Vestre Toten,,,3443,Vestre Toten,34,Innlandet,13427
3446,Gran,,,3446,Gran,34,Innlandet,Gran,,,3446,Gran,34,Innlandet,13630
3447,Søndre Land,,,3447,Søndre Land,34,Innlandet,Søndre Land,,,3447,Søndre Land,34,Innlandet,5617
3448,Nordre Land,,,3448,Nordre Land,34,Innlandet,Nordre Land,,,3448,Nordre Land,34,Innlandet,6633
3449,Sør-Aurdal,,,3449,Sør-Aurdal,34,Innlandet,Sør-Aurdal,,,3449,Sør-Aurdal,34,Innlandet,2954
3450,Etnedal,,,3450,Etnedal,34,Innlandet,Etnedal,,,3450,Etnedal,34,Innlandet,1279
3451,Nord-Aurdal,,,3451,Nord-Aurdal,34,Innlandet,Nord-Aurdal,,,3451,Nord-Aurdal,34,Innlandet,6413
3452,Vestre Slidre,,,3452,Vestre Slidre,34,Innlandet,Vestre Slidre,,,3452,Vestre Slidre,34,Innlandet,2125
3453,Øystre Slidre,,,3453,Øystre Slidre,34,Innlandet,Øystre Slidre,,,3453,Øystre Slidre,34,Innlandet,3229
3454,Vang,,,3454,Vang,34,Innlandet,Vang,,,3454,Vang,34,Innlandet,1578
3801,Horten,,,3801,Horten,38,Vestfold og Telemark,Horten,,,3801,Horten,38,Vestfold og Telemark,27351
3802,Holmestrand,,,3802,Holmestrand,38,Vestfold og Telemark,Holmestrand,,,3802,Holmestrand,38,Vestfold og Telemark,24699
3803,Tønsberg,,,3803,Tønsberg,38,Vestfold og Telemark,Tønsberg,,,3803,Tønsberg,38,Vestfold og Telemark,56293
3804,Sandefjord,,,3804,Sandefjord,38,Vestfold og Telemark,Sandefjord,,,3804,Sandefjord,38,Vestfold og Telemark,63764
3805,Larvik,,,3805,Larvik,38,Vestfold og Telemark,Larvik,,,3805,Larvik,38,Vestfold og Telemark,47204
3806,Porsgrunn,,,3806,Porsgrunn,38,Vestfold og Telemark,Porsgrunn,,,3806,Porsgrunn,38,Vestfold og Telemark,36397
3807,Skien,,,3807,Skien,38,Vestfold og Telemark,Skien,,,3807,Skien,38,Vestfold og Telemark,54942
3808,Notodden,,,3808,Notodden,38,Vestfold og Telemark,Notodden,,,3808,Notodden,38,Vestfold og Telemark,13049
3811,Færder,,,3811,Færder,38,Vestfold og Telemark,Færder,,,3811,Færder,38,Vestfold og Telemark,26730
3812,Siljan,,,3812,Siljan,38,Vestfold og Telemark,Siljan,,,3812,Siljan,38,Vestfold og Telemark,2340
3813,Bamble,,,3813,Bamble,38,Vestfold og Telemark,Bamble,,,3813,Bamble,38,Vestfold og Telemark,14061
3814,Kragerø,,,3814,Kragerø,38,Vestfold og Telemark,Kragerø,,,3814,Kragerø,38,Vestfold og Telemark,10380
3815,Drangedal,,,3815,Drangedal,38,Vestfold og Telemark,Drangedal,,,3815,Drangedal,38,Vestfold og Telemark,4060
3816,Nome,,,3816,Nome,38,Vestfold og Telemark,Nome,,,3816,Nome,38,Vestfold og Telemark,6515
3817,Midt-Telemark,,,3817,Midt-Telemark,38,Vestfold og Telemark,Midt-Telemark,,,3817,Midt-Telemark,38,Vestfold og Telemark,10444
3818,Tinn,,,3818,Tinn,38,Vestfold og Telemark,Tinn,,,3818,Tinn,38,Vestfold og Telemark,5691
3819,Hjartdal,,,3819,Hjartdal,38,Vestfold og Telemark,Hjartdal,,,3819,Hjartdal,38,Vestfold og Telemark,1573
3820,Seljord,,,3820,Seljord,38,Vestfold og Telemark,Seljord,,,3820,Seljord,38,Vestfold og Telemark,2888
3821,Kviteseid,,,3821,Kviteseid,38,Vestfold og Telemark,Kviteseid,,,3821,Kviteseid,38,Vestfold og Telemark,2403
3822,Nissedal,,,3822,Nissedal,38,Vestfold og Telemark,Nissedal,,,3822,Nissedal,38,Vestfold og Telemark,1448
3823,Fyresdal,,,3823,Fyresdal,38,Vestfold og Telemark,Fyresdal,,,3823,Fyresdal,38,Vestfold og Telemark,1287
3824,Tokke,,,3824,Tokke,38,Vestfold og Telemark,Tokke,,,3824,Tokke,38,Vestfold og Telemark,2201
3825,Vinje,,,3825,Vinje,38,Vestfold og Telemark,Vinje,,,3825,Vinje,38,Vestfold og Telemark,3676
4201,Risør,,,4201,Risør,42,Agder,Risør,,,4201,Risør,42,Agder,6809
4202,Grimstad,,,4202,Grimstad,42,Agder,Grimstad,,,4202,Grimstad,42,Agder,23544
4203,Arendal,,,4203,Arendal,42,Agder,Arendal,,,4203,Arendal,42,Agder,44999
