organisation_number,company_name,Kommune,Fylke,n_employees
911800659,LIANTUNET AS,Trondheim,Trøndelag - Trööndelage,2
911801132,LYNX MEDISINSKE SENTER,Fredrikstad,Viken,1
911801213,TEA TRANSPORT AS,Kongsvinger,Innlandet,3
911801396,TURRET,Lillestrøm,Viken,1
911801418,TOR ENDRESEN AS,Bergen,Vestland,1
911801582,LUNCH & MIDDAG SENTRALEN,Haugesund,Rogaland,10
911802910,M & W TEAM AS,Gjesdal,Rogaland,3
911803143,OSLO RENHOLDSPARTNER AS,Oslo,Oslo,16
911803240,HENRY & VANESSA AS,Kongsvinger,Innlandet,5
911803259,Z ENERGI AS,Stavanger,Rogaland,1
911803577,TOTONOR AS,Harstad,Troms og Finnmark - Romsa ja Finnmárku,2
911803607,SKINTONIC SVOLVÆR AS,Vågan,Nordland,2
911803836,MONNEE KONSULT AS,Lillestrøm,Viken,1
911803925,MMM BYGG AS,Indre Østfold,Viken,3
911804123,BYGG OG REPARASJON AS,Moskenes,Nordland,2
911805669,SOMA SKO AS AVD EUROSKO VESTBY,Vestby,Viken,5
911805863,SOLSVIK MUR OG PUSS JAN SOLSVIK,Sunnfjord,Vestland,3
911806983,EUROMILJØ RENT AS,Oslo,Oslo,13
911807025,ORKDAL GRILL & PIZZA AS,Orkland,Trøndelag - Trööndelage,5
911807149,ANGEDAL GARD AS,Sunnfjord,Vestland,1
911807238,FROST PRODUKT AS,Oslo,Oslo,2
911807998,BETONMAST BUSKERUD-VESTFOLD AS,Oslo,Oslo,1
911808374,GRO OG KRISTIN'S FRISØR AS,Lillestrøm,Viken,3
911808994,OP TRANSPORT AS,Ås,Viken,3
911809168,JOBZONE NORGE AS AVD HARSTAD,Harstad,Troms og Finnmark - Romsa ja Finnmárku,1
911810638,CARLINGS BRYNE AVD 57 F,Time,Rogaland,4
911811995,SOMNOMED NORDIC AB,Bærum,Viken,3
911812029,BLEKKSPRUTEN ØSTFOLD AS,Fredrikstad,Viken,22
911813661,FLINKE HENDER AS,Oslo,Oslo,4
911814080,HELGØYA KLATREPARK AS,Ringsaker,Innlandet,1
911814722,SAAD BUTT,Oslo,Oslo,1
911814846,SUNKOST BUTIKK AS SUNKOST RYGGE,Moss,Viken,1
911815508,JAR ISFORUM AS,Bærum,Viken,6
911817411,24ONOFF AS,Trondheim,Trøndelag - Trööndelage,2
911817640,SCANDIA REGNSKAP AS AVD OSLO,Oslo,Oslo,2
911818116,VELVÆRE FRISØR AS,Sandefjord,Vestfold og Telemark,3
911818159,SIVILINGENIØR OLE HAMMARI AS,Alta,Troms og Finnmark - Romsa ja Finnmárku,1
911818280,ELAHI AUTOSENTER AS,Lier,Viken,2
911818418,HENDRIX HAIR OSLO AS,Oslo,Oslo,4
911818604,ADJE RENHOLD AS,Ullensaker,Viken,1
911819074,SAFETYHOUSE AS,Oslo,Oslo,2
911819376,DORA MOTOR AS,Trondheim,Trøndelag - Trööndelage,1
911819686,VESTFOLD KRAN & TRANSPORT AS,Sandefjord,Vestfold og Telemark,1
911820544,ALTAVEM AS,Kongsberg,Viken,1
911820889,MULTIFIBER AS,Lillestrøm,Viken,1
911822121,LØRENSKOG ØYEKLINIKK AS,Lørenskog,Viken,6
911822741,GRAVSTEIN24 AS,Oslo,Oslo,11
911822830,LYS I NORD AS,Harstad,Troms og Finnmark - Romsa ja Finnmárku,1
911824345,NORD ODAL SANITETSFORENING,Nord-Odal,Innlandet,1
911824795,LIGHTGROUPNORDIC AS,Sandefjord,Vestfold og Telemark,7
911826097,ZPECTER ØKONOMI AS,Bærum,Viken,11
911826178,KULTURLEVERANSER AS,Fredrikstad,Viken,3
911826682,ARENDAL FOTBALL,Arendal,Agder,25
911826712,MOOD GRAFISK DESIGN AS,Sarpsborg,Viken,1
911826976,OSLO PROSJEKTBYGG AS,Oslo,Oslo,1
911830019,ØYELEGE GRØNLIE AS,Tromsø,Troms og Finnmark - Romsa ja Finnmárku,1
911830302,PROFF BILPLEIE TROMSØ AS,Tromsø,Troms og Finnmark - Romsa ja Finnmárku,4
911830949,STAMINA HELSE AS AVD LARVIK,Larvik,Vestfold og Telemark,26
911831880,DIRECT HOUSE ARENDAL AS,Froland,Agder,8
911832828,REIDUNS REGNSKAPSSERVICE AS,Hol,Viken,1
911832941,VENDANOR AS,Stryn,Vestland,5
911833255,NONI FRISØR AS,Bergen,Vestland,2
911834030,FRK. LYNG,Kristiansand,Agder,5
911834391,FIT FOR FIGHT NORGE AS,Fredrikstad,Viken,3
911834782,KOMÉT TRAFIKKSKOLE AS,Lillestrøm,Viken,2
911836440,BYGGEFIRMAET R SAMDAL SNEKKERI AS,Melhus,Trøndelag - Trööndelage,1
911839644,ISS FACILITY SERVICES AS AVD SENSONOR,Horten,Vestfold og Telemark,1
911840278,KITCH'N LILLESTRØM,Lillestrøm,Viken,3
911840480,SVERMERIET KAFE OG REDESIGN AS,Tromsø,Troms og Finnmark - Romsa ja Finnmárku,5
911840499,ISS FACILITY SERVICES AS AVD ELEKTROSKANDIA NORGE AS,Oslo,Oslo,2
911840995,ISS FACILITY SERVICES AS AVD FELLESKJØPET AS KANTINE 1,Stavanger,Rogaland,1
911841134,ISS FACILITY SERVICES AS AVD FELLESKJØPET AS KANTINE 2,Stavanger,Rogaland,1
911841967,TELIA NORGE AS TELIA AVD STRANDTORGET,Lillehammer,Innlandet,3
911842238,TELIA NORGE AS TELIA AVD VESTKANTEN,Bergen,Vestland,5
911842424,INTERIØRMONTERING AS,Asker,Viken,2
911842599,BOSSEKOP TANNKLINIKK AS,Alta,Troms og Finnmark - Romsa ja Finnmárku,9
911842637,JOBCONNECT ADMIN AS,Bærum,Viken,5
911842661,ONCUE MUSIC PRODUCTIONS AS,Høyanger,Vestland,1
911843323,KOMPASS & CO AS,Oslo,Oslo,2
911845334,TEKNIKMAGASINET NORWAY AS AVD GUNERIUS,Oslo,Oslo,3
911845539,EDVARDSEN TRAFIKKSKOLE NARVIK AS,Narvik,Nordland,4
911846977,BØNNER I BYEN AS,Bodø,Nordland,2
911847175,DELTA COMMERCE AS,Oslo,Oslo,2
911847507,WORKSHOP BEMANNING & KOMPETANSE AS AVD DRAMMEN,Drammen,Viken,5
911847736,ERGANE MONTERING AS,Lillestrøm,Viken,55
911847965,AKTIV EIENDOMSMEGLING HELGELAND,Vefsn,Nordland,2
911849356,KA KANTINA V/LENE ASMYHR,Kongsberg,Viken,1
911850443,DELIA AS,Molde,Møre og Romsdal,6
911850788,KVALEBERG AS,Sandnes,Rogaland,9
911850826,TE AKTIVA AS,Bergen,Vestland,1
911851210,JOHANNA LARSÈN AS,Bærum,Viken,1
911851466,ALVÆRVIK GRÅSTEINSMURING AS,Fjaler,Vestland,1
911852039,FLYING TIGER COPENHAGEN MOSS,Moss,Viken,6
911852241,FLYING TIGER COPENHAGEN STOVNER,Oslo,Oslo,5
911852403,IL RENGJØRING AS,Sandefjord,Vestfold og Telemark,6
911852667,DIRECT HOUSE ARENDAL AS,Froland,Agder,1
911852993,PP NORGE AS,Skiptvet,Viken,1
911853639,PARIS FRISØR SILAS,Haugesund,Rogaland,5
911853647,FLYING TIGER COPENHAGEN BOGSTADVEIEN,Oslo,Oslo,7
911853698,FLYING TIGER COPENHAGEN BERGEN,Bergen,Vestland,8
911853744,FLYING TIGER COPENHAGEN MADLA,Stavanger,Rogaland,8
911853787,FLYING TIGER COPENHAGEN VAGEN,Sandnes,Rogaland,7
911854104,SENTRUM PIZZA MOHAMMAD HOUSA,Tønsberg,Vestfold og Telemark,1
911854244,FLYING TIGER COPENHAGEN HAMAR,Hamar,Innlandet,6
911855895,OBJEKTIV PARTNER AS,Oslo,Oslo,1
911856042,MYBW OFFICE MANAGEMENT AS,Oslo,Oslo,8
911856239,NORÅS AS,Bergen,Vestland,25
911857049,TOM WOOD AS,Oslo,Oslo,21
911859890,PREDIKTOR MEDICAL AS,Fredrikstad,Viken,1
911860074,CUBUS CITY LADE AVD 81A,Trondheim,Trøndelag - Trööndelage,6
911861208,ASIA MAT OS AS,Bjørnafjorden,Vestland,2
911861313,ATHENE GRESK SPRÅK OG KULTUR AS,Oslo,Oslo,1
911866005,EVENDO AS,Oslo,Oslo,6
911866315,SVANGAARD BRANDS AS,Oslo,Oslo,1
911866331,DOMBÅS GRILLKJØKKEN AS,Dovre,Innlandet,7
911866919,ENZO,Ringerike,Viken,1
911869659,NORDIC CHANGE AS,Oslo,Oslo,1
911870258,RØRLEGGER PLUSS AS,Oslo,Oslo,2
911870797,INNLANDET FINANS OG FORSIKRING AS,Østre Toten,Innlandet,3
911871548,ETN MONTASJE AS,Eidskog,Innlandet,2
911871661,ON - OPPLÆRINGSSENTER FOR NATURBRUKSFAG,Lier,Viken,2
911871793,HOVDAN.COM AS,Asker,Viken,2
911871823,DYBVIK TANNHELSESENTER AS,Meløy,Nordland,5
911871998,RETEK NORGE AS,Oslo,Oslo,1
911872102,TELEMARK AUTO AS,Skien,Vestfold og Telemark,7
911872277,SATS BUSINESS,Bærum,Viken,10
911875772,STENVAAG VÅPENSENTER AS,Asker,Viken,1
911876221,RING UTLEIER AS,Arendal,Agder,1
911876299,RUKKEDALSKOGEN AS,Oslo,Oslo,1
911876736,BØ GÅRDSSLAKTERI AS,Sortland - Suortá,Nordland,3
911876736,BØ GÅRDSSLAKTERI AS,Sortland,Nordland,3
911877392,OLIVIA AS,Trondheim,Trøndelag - Trööndelage,1
911877392,OLIVIA AS AVD TRONDHEIM,Trondheim,Trøndelag - Trööndelage,45
911877740,SUNNMØRE LIVE AS,Ålesund,Møre og Romsdal,6
911878593,CMA INVEST AS,Ås,Viken,1
911880873,HOLMESTRAND FJORDHOTELL AS,Holmestrand,Vestfold og Telemark,4
911882566,GROV GRASKLYPP AS,Stord,Vestland,1
911882779,NSN AS,Bergen,Vestland,1
911883139,SODEXO AS 28790 FRED OLSENS GATE 1,Oslo,Oslo,4
911883503,IHUGA AS,Oslo,Oslo,2
911883570,INNOVASJON HUS AS,Ålesund,Møre og Romsdal,1
911883945,DE 3 STUER AVD S150,Oslo,Oslo,1
911886561,LIVSSTILHJELP AS,Nittedal,Viken,1
911886812,ALEKNA TAXI,Giske,Møre og Romsdal,1
911887576,MINDE LEGEPRAKSIS DA,Bergen,Vestland,2
911887606,STINE BARBOS HUDPLEIE AS,Drammen,Viken,2
911888254,NEWTRIMS HOLDING AS,Bærum,Viken,1
911888645,PENTAGON FREIGHT SERVICES AS AVD STAVANGER,Sola,Rogaland,4
911888807,NORDFJORD AUGELEGESENTER AS,Stad,Vestland,2
911889021,SYVERTSEN & BRÅTHEN-NORDLAND AS,Kristiansand,Agder,3
911889234,BOB BYGG AS,Sandnes,Rogaland,3
911890844,BAKER SAMSON AVD UTSALG GRÜNERLØKKA,Oslo,Oslo,8
911890879,SVENDSEN KAFE,Sør-Fron,Innlandet,2
911890941,BAKER SAMSON AVD UTSALG MANGLERUD,Oslo,Oslo,2
911892723,XL-BYGG HAUGALANDET AS AVD VINJE SAG,Vinje,Vestfold og Telemark,4
911893061,MOVE KIROPRAKTIKK AS,Lørenskog,Viken,2
911893452,IKO BYGG AS,Senja,Troms og Finnmark - Romsa ja Finnmárku,2
911893940,DIINEF AS,Kristiansand,Agder,3
911895234,ANLEGG ØST ENTREPRENØR AS AVD LILLEHAMMER,Lillehammer,Innlandet,21
911895900,KJØKKENDRIFT NO 1 STORBYEN AS,Sarpsborg,Viken,5
911895951,APRIMO RÅDGIVNING JAN-ARNE HØIBRÅTEN AS,Lillestrøm,Viken,1
911896532,DALANE TRYKK AS,Eigersund,Rogaland,5
911898683,OISHI AS,Kristiansand,Agder,3
911899205,EMLARSEN & PARTNERS AS,Hole,Viken,1
911900513,VILLA MARCO,Sandefjord,Vestfold og Telemark,2
911902184,WOSSENU DEMISSIE,Oslo,Oslo,1
911902842,FINSNES GAARD AS,Senja,Troms og Finnmark - Romsa ja Finnmárku,2
911904373,FØRSTEHJELPEREN AS,Oslo,Oslo,4
911905035,BYBUBBLY AS,Oslo,Oslo,2
911905582,WAALER ENTREPRENØR AS,Bærum,Viken,1
911905701,SUSHI OG THAI LAMBERTSETER AS,Oslo,Oslo,6
911905868,HOUZ AS,Oslo,Oslo,1
911906147,KRISTIANSAND HOTELLDRIFT AS,Kristiansand,Agder,15
911906341,HAIR CONSEPT BY A-SALONG AS,Kristiansand,Agder,11
911906678,BAA DISTRIBUSJON AS,Oslo,Oslo,1
911907275,DIAMOND ROAD MUSIC AS,Oslo,Oslo,1
911907496,SKANDINAVISKE SPORTSIMPORT AS,Haugesund,Rogaland,2
911907801,UTBRUDD PERFORMANCE MARKETING AS,Trondheim,Trøndelag - Trööndelage,2
911908026,SALONG S&M AS,Oslo,Oslo,6
911908417,OTTESTAD LEGESENTER DA,Stange,Innlandet,2
911909146,WEST INSPECTION AS AVD IKORNNES,Sykkylven,Møre og Romsdal,3
911909235,"AKER BRYGGE, MARK+BRANDY AS",Oslo,Oslo,6
911909561,DANMARKSPLASS FYSIKALSKE INSTITUTT AS,Bergen,Vestland,1
911910144,LOFOTEN HAVFISKE & RORBUOPPLEVELSER AS,Vestvågøy,Nordland,1
911910640,BEMANNINGSHJELPEN AS,Oslo,Oslo,54
911910780,ÅMLI MESTERBYGG AS,Åmli,Agder,3
911911191,WALID TAXI HAMDAN,Bergen,Vestland,1
911912430,NÆSTBY TREVARE AS,Vefsn,Nordland,8
911912643,NAUSTDAL MASKIN AS,Stad,Vestland,1
911913372,VESLE KINN AS,Kinn,Vestland,2
911913380,NAVIC AS,Sunnfjord,Vestland,1
911914662,VIKEN II AS,Østre Toten,Innlandet,1
911915006,SMB NETTVERK AS,Stad,Vestland,1
911915375,KVERVIL'N AS,Molde,Møre og Romsdal,2
911915812,N LIE-NIELSEN AS AVD UTSALG STRANDGATEN 21,Bergen,Vestland,2
911916924,FILMCOMPAGNIET AS,Dyrøy,Troms og Finnmark - Romsa ja Finnmárku,1
911918250,IMPULSE TRENINGSSENTER AS AVD GRANÅSEN,Trondheim,Trøndelag - Trööndelage,8
911918285,IMPULSE TRENINGSSENTER AS,Melhus,Trøndelag - Trööndelage,1
911918285,IMPULSE TRENINGSSENTER AS AVD MELHUS,Melhus,Trøndelag - Trööndelage,16
911919435,VICTORIA & HENRIK AS,Nome,Vestfold og Telemark,4
911921545,KRAN OG ENTREPRENØRTJENESTER AS,Narvik,Nordland,3
911921588,ANAGRAM DESIGN AS,Oslo,Oslo,2
911922959,NORTHERNSHOTS TOURS AS,Tromsø,Troms og Finnmark - Romsa ja Finnmárku,14
911923076,CARGLASS AS AVD ASKIM,Indre Østfold,Viken,1
911923122,PRODEV AS,Frogn,Viken,1
911923149,IFZEB GRILL OG PIZZA AS,Lillehammer,Innlandet,5
911923297,SVAMO AS,Oslo,Oslo,15
911924110,NORD DESTINATION MANAGEMENT COMPANY AS,Kristiansand,Agder,4
911924285,LILLE MILANO LEKNES ERCAN TUNC,Vestvågøy,Nordland,5
911924544,RISØ MAT & KAFFEBAR AS,Tromsø,Troms og Finnmark - Romsa ja Finnmárku,6
911925052,TELEMASTER AS,Kongsberg,Viken,1
911926105,ØYELEGE RAGNHILD MUNKHAUG AS,Fauske - Fuosko,Nordland,3
911926105,ØYELEGE RAGNHILD MUNKHAUG AS,Fauske - Fuossko,Nordland,3
911926733,MOSVOLD FACILITY MENAGEMENT AS,Kristiansand,Agder,3
911927624,ETERNI NORGE AS,Stavanger,Rogaland,1
911927624,ETERNI NORGE AS AVD STAVANGER,Stavanger,Rogaland,49
911930315,COWBOYS AND ANGELS AS,Trondheim,Trøndelag - Trööndelage,2
911932091,UNA PIZZERIA E BAR,Trondheim,Trøndelag - Trööndelage,40
911933853,REBELLE FRISØR AS,Bergen,Vestland,2
911934949,TZR KAROSSERIVERKSTED TOMASZ RUDA,Stange,Innlandet,1
911936224,BERGEN SPRAYTAN AS,Bergen,Vestland,4
911937425,HALTUFF ELEKTRO AS,Oslo,Oslo,1
911937859,BURGER KING 5049 ÅLESUND STORSENTER,Ålesund,Møre og Romsdal,17
911938340,ORION PIZZAGRILL AS,Steinkjer,Trøndelag - Trööndelage,6
911938553,BS TRAFIKKSKOLE AS,Indre Østfold,Viken,4
911939053,HUSMORVIKARENE AS,Sandnes,Rogaland,1
911945444,NORMANN COPENHAGEN APS,Oslo,Oslo,3
911949024,MASTER MINDS OF TRAINING AS,Kragerø,Vestfold og Telemark,9
911949199,RAULAND VAKTSERVICE AS,Vinje,Vestfold og Telemark,3
911949520,LINDBAK VIKEN VEST AS,Drammen,Viken,2
911955229,MONTERING 1 AS,Eidsvoll,Viken,2
911955539,AURORA SPIRIT DISTILLERY AS,Lyngen,Troms og Finnmark - Romsa ja Finnmárku,2
911956950,URMAKER LARSEN STORO AS,Oslo,Oslo,3
911957957,STAVERNFESTIVALEN AS,Larvik,Vestfold og Telemark,10
911958082,HALVORSEN TAKST AS,Krødsherad,Viken,1
911961741,FORPLEININGSKOMPANIET AS,Hamar,Innlandet,1
911962527,JOHN HARALD HANSEN,Harstad,Troms og Finnmark - Romsa ja Finnmárku,2
911962586,SKY FITNESS AS,Fredrikstad,Viken,6
911962632,HOTVEDT DRIFT AS AVD HAUGENSTUA,Oslo,Oslo,1
911963949,VAKTMESTERKOMPANIET AS,Oslo,Oslo,29
911964082,HOTEL AAK AS,Rauma,Møre og Romsdal,8
911964279,PRK BYGG AS,Lyngdal,Agder,5
911967596,LEEBOW RACING AS,Færder,Vestfold og Telemark,1
911967707,MAMA ROSA SOKNEDAL AS,Midtre Gauldal,Trøndelag - Trööndelage,3
911967936,DUVI AS,Lillestrøm,Viken,8
911968592,IUF AS,Bergen,Vestland,1
911969068,REAL ESTATE NORWAY AS,Bergen,Vestland,2
911969203,STEP-IN NINI THERESE TOLLEFSEN,Rollag,Viken,1
911969971,ARCTIC FISHING SOMMARØY AS,Tromsø,Troms og Finnmark - Romsa ja Finnmárku,1
911970643,AUSTEVOLL ELEKTRO AS AVD PRODUKSJON,Austevoll,Vestland,17
911971186,FINTBYGG AS,Kristiansand,Agder,8
911971577,TOM HILDE AS,Oslo,Oslo,1
911972638,ARILD SOLHEIM FYSIOTERAPI AS,Bergen,Vestland,1
911972727,ABLEGØY PARTYSPESIALISTEN AS,Ullensaker,Viken,2
911972891,RESSURSCOMPAGNIET AS,Drammen,Viken,1
911973294,BUSKERUD MILJØSERVICE AS,Drammen,Viken,1
911974436,OLSRØD OPTIKK AS,Tønsberg,Vestfold og Telemark,5
911974568,PARK KIOSKEN AS,Sogndal,Vestland,3
911974800,RØISVOLD TRECON AS,Østre Toten,Innlandet,1
911974843,BGB AS,Aurskog-Høland,Viken,12
911975114,HOT MEGASTORE AS,Oslo,Oslo,2
911975351,NORDISKE MEDIER AS,Oslo,Oslo,2
911975750,KG BYGGKONSULT AS,Hvaler,Viken,1
911976129,ARTIC STYLING AS,Narvik,Nordland,4
911976250,PETROMARIN AS,Bergen,Vestland,2
911976374,TH FLOR AS,Tønsberg,Vestfold og Telemark,1
911977133,V-ØKONOMI AS,Ålesund,Møre og Romsdal,1
911977567,VANNTÅKE AS,Oslo,Oslo,3
911977664,LAVENDEL BLOMSTER OG INTERIØR AS,Trondheim,Trøndelag - Trööndelage,2
911978237,NORDKOST AS,Oslo,Oslo,1
911978326,CAPASAND AS,Holmestrand,Vestfold og Telemark,1
911978415,ADVOKATFIRMAET BAADSTØ AS,Alstahaug,Nordland,2
911978989,CAFE 33 AS,Oslo,Oslo,5
911979004,P.R. ANLEGG AS,Vestby,Viken,1
911979918,B SVEINSSON ANLEGG AS,Skien,Vestfold og Telemark,3
911980835,INNDYR TAXI / NORVALD MYRVOLL,Gildeskål,Nordland,2
911981068,VIKERSUND CATERING & CAFE AS,Modum,Viken,1
911981599,HØYER TRONDHEIM AS,Trondheim,Trøndelag - Trööndelage,14
911981661,SYSTEMDRIFT AS,Lillestrøm,Viken,2
911982099,GRIMSTAD KIROPRAKTORKLINIKK DRIFT AS,Grimstad,Agder,1
911982102,NINA CASTING & COSTUMES AS,Tromsø,Troms og Finnmark - Romsa ja Finnmárku,1
911982455,SKI TAXI,Ås,Viken,1
911982684,ONECO VEST AS AVD BERGEN,Bergen,Vestland,17
911982692,DIGS AS,Trondheim,Trøndelag - Trööndelage,16
911982919,SEQUOIA AS,Oslo,Oslo,1
911983168,GUANXI - IT'S RESULTS THAT MATTER AS,Oslo,Oslo,1
911984350,SALONG CREATIVE AS,Sandefjord,Vestfold og Telemark,4
911986027,EVENTUM NORGE AS,Oslo,Oslo,4
911986086,SPAR EIENDOM AS,Oslo,Oslo,4
911986183,BETE ASFALT AS,Modum,Viken,2
911987384,DE 3 STUER HOVEDKONTOR,Trondheim,Trøndelag - Trööndelage,5
911987732,TMJ BYGG AS,Bergen,Vestland,3
911988623,A TEAM MANAGEMENT AS AVD OSLO,Oslo,Oslo,1
911988917,GIMSØY SPISERI AS,Skien,Vestfold og Telemark,2
911989298,KIRKENES HUD OG FOTKLINIKK AS,Sør-Varanger,Troms og Finnmark - Romsa ja Finnmárku,1
911989506,GUNN ASTRI JANSEN ØK.BISTAND AS,Skien,Vestfold og Telemark,1
911989565,PAPRIKA AS,Oslo,Oslo,3
911990725,GALGEBERG CAFE V/VY DINH,Oslo,Oslo,6
911991217,SPORTY TRENING AS,Asker,Viken,2
911991713,GK RØR AS AVD TRONDHEIM,Trondheim,Trøndelag - Trööndelage,2
911993228,DALANGÅRDEN KIROPRAKTORKLINIKK AS,Kristiansand,Agder,1
911993279,AFRY GROUP NORWAY AS AVD OSLO,Oslo,Oslo,1
911993791,BRYGGERIET TANNLEGESENTER DA,Elverum,Innlandet,6
911997142,XPRESSBULK AS,Oslo,Oslo,1
911997215,EASYLUNSJ AS,Tønsberg,Vestfold og Telemark,3
911997398,TRONDHEIM KLATRESENTER AS,Trondheim,Trøndelag - Trööndelage,4
911998777,IMPRESITIVE AS,Bærum,Viken,1
911999374,EMBIDA AS,Trondheim,Trøndelag - Trööndelage,1
911999684,ISS FACILITY SERVICES AS AVD ELKEM KRISTIANSAND,Kristiansand,Agder,2
911999862,MOOD STUDIO AS,Oslo,Oslo,7
912000060,STADION REISEEFFEKTER AS,Hamar,Innlandet,1
912000796,BARN I VANN AS,Nittedal,Viken,7
912001032,AFI MARITIME AS AVD VÅGSØY,Kinn,Vestland,27
912001369,Z HÅRDESIGN AS,Haugesund,Rogaland,2
912002136,WALL STREET EWA IZABELA WALLA,Lillestrøm,Viken,3
912002144,EFFECT BEMANNING,Trondheim,Trøndelag - Trööndelage,3
912002209,CHAHALS AS,Oslo,Oslo,4
912002608,BEKKESTUA KJØKKENSTUDIO AS,Bærum,Viken,2
912003787,TRYSILHUSGRUPPEN AS,Drammen,Viken,12
912003809,KREATIV TRENING AS,Nordre Follo,Viken,1
912006700,COMPASS GROUP FS NORWAY AS AVD 919067,Oslo,Oslo,3
912006840,BRØDRENE MÆLAND BYGG & BETONG AS,Etne,Vestland,4
912007081,FMP AS,Fredrikstad,Viken,1
912007200,BOTECO AS,Kristiansund,Møre og Romsdal,7
912007359,COMPASS GROUP FS NORWAY AS AVD 919070,Stavanger,Rogaland,2
912007448,KASIN MASKIN AS,Hjartdal,Vestfold og Telemark,2
912007758,FESTE TRAFIKKSKOLE AS,Bergen,Vestland,7
912008533,JOINYOU AS,Oslo,Oslo,2
912008835,DYREKLINIKKEN TERTNES AS,Bergen,Vestland,5
912008924,MADEBYME AS,Skien,Vestfold og Telemark,1
912009661,CASTELLO HOLDING AS,Kristiansand,Agder,2
912010856,LTF AS,Fredrikstad,Viken,7
912011364,GOFOTEN KRISTIANSAND AS,Kristiansand,Agder,1
912011402,ENGELPARADIS,Oslo,Oslo,2
912012360,STOREFACT AS,Oslo,Oslo,1
912012557,ELKJØP FOSEN AS,Ørland,Trøndelag - Trööndelage,1
912012700,M7 REGNSKAP AS,Bergen,Vestland,1
912012751,LAMPOON THAI MASSASJE & SPA LAMPOON SIKIEW,Bærum,Viken,1
912012964,MILLE MOI AS,Fredrikstad,Viken,4
912013472,NORWEGIAN CARGO AS,Bærum,Viken,2
912013812,CHANGE OF SCANDINAVIA BERGEN STORSENTER,Bergen,Vestland,5
912015351,KEISER RESTAURANT AS,Stord,Vestland,5
912016641,RK HÅRSTUDIO AS,Sandefjord,Vestfold og Telemark,2
912016897,MOTORSPORT EVENT AS,Sarpsborg,Viken,1
912017397,ØVERLAND AC/DC AS,Hamar,Innlandet,1
912017656,BÆKKELAGETS SPORTSKLUB HE,Oslo,Oslo,9
912018865,BUSY AS,Drammen,Viken,1
912019381,M3 ARKITEKTER AS,Oslo,Oslo,2
912020657,E12NNI AS,Oslo,Oslo,1
912020738,YOU & I AGENCY AS,Oslo,Oslo,2
912020983,KITCH'N KLØFTA,Ullensaker,Viken,4
912021297,COOR SERVICE MANAGEMENT AS AVD TIETO TRONDHEIM,Trondheim,Trøndelag - Trööndelage,2
912022846,OSTERØY TANNLEGESENTER AS,Osterøy,Vestland,4
912023117,ZAFENA AS,Larvik,Vestfold og Telemark,1
912023524,NAMSSKOGAN FRIVILLIGSENTRAL,Namsskogan,Trøndelag - Trööndelage,1
912023583,ELEKTRO - PARTNER AS,Asker,Viken,2
912023621,ROYAL SUSHI AS,Kristiansand,Agder,10
912025160,TANNLEGE HELENE HERJE ELLINGSEN AS,Molde,Møre og Romsdal,2
912025438,TMOS PHARMA AS,Elverum,Innlandet,2
912028143,TERTIA AS,Nordre Follo,Viken,4
912030296,LAB-TEC LABORATORIEUTSTYR AS,Øygarden,Vestland,1
912030857,FEEL24 MO I RANA AS,Rana,Nordland,2
912030997,VINTERBRO BILPLEIE AS,Ås,Viken,6
912031500,ENJOY LIVING AS,Drammen,Viken,2
912032728,GJØR EN FORSKJELL AS,Færder,Vestfold og Telemark,2
912032752,"NORLI AS AVD CITY LADE, TRONDHEIM",Trondheim,Trøndelag - Trööndelage,1
912036499,COOP NORDLAND SA KITCHN FAUSKE,Fauske - Fuosko,Nordland,3
912036499,COOP NORDLAND SA KITCHN FAUSKE,Fauske - Fuossko,Nordland,3
912036634,HARSTAD DRIFT & SERVICEPARTNER AS,Harstad,Troms og Finnmark - Romsa ja Finnmárku,1
912038815,JÆRTANNLEGENE AS,Time,Rogaland,3
912038998,LAURA SERVICE AS,Narvik,Nordland,5
912039447,SULLAND AUTO TRØNDELAG AS,Trondheim,Trøndelag - Trööndelage,6
912040151,CHRISTIANIA BELYSNING AS AVD TASTA SENTER,Stavanger,Rogaland,4
912040577,CHRISTIANIA BELYSNING AS AVD STRØMMEN STORSENTER,Lillestrøm,Viken,4
912040666,FLYING TIGER COPENHAGEN LAMBERTSETER,Oslo,Oslo,9
912040933,CHRISTIANIA BELYSNING AS AVD HORTEN,Horten,Vestfold og Telemark,1
912042634,FUGLEHUNDENS VERDEN AS,Ullensaker,Viken,1
912044629,SPAR KJØP AS VESTBY STORSENTER,Vestby,Viken,5
912044734,K.M BYGG AS,Trondheim,Trøndelag - Trööndelage,6
912045803,TA DET PIANO AS,Ålesund,Møre og Romsdal,3
912046419,NEVERS AS,Drammen,Viken,1
912047121,EIENDOMSMEGLER KROGSVEEN AS AVD LØREN,Oslo,Oslo,5
912047199,EIENDOMSMEGLER KROGSVEEN AS AVD AKER BRYGGE,Oslo,Oslo,2
912047679,OMA SECURITY AS,Drammen,Viken,1
912048853,COMPASS GROUP FS NORWAY AS AVD 919109,Oslo,Oslo,4
912049817,KREFTFORENINGEN DISTRIKTSKONTOR STAVANGER,Stavanger,Rogaland,2
912050025,IB HELSE AS,Oslo,Oslo,2
912050610,JACK & JONES BRYNE - M44 307426,Time,Rogaland,2
912050947,CARLINGS MARKEDET HAUGESUND AVD N 58,Haugesund,Rogaland,2
912051250,BY BJØRKHEIM AS,Oslo,Oslo,2
